From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points,Competition
Belarus,Croatia,17,16,26,14,25,21,23,0,0,2016Grand
Belarus,Russia,1,1,2,3,2,1,1,12,12,2016Grand
Belarus,Spain,15,5,10,18,15,12,17,0,0,2016Grand
Belarus,Latvia,21,17,25,23,24,24,6,0,5,2016Grand
Belarus,Ukraine,4,6,4,7,1,4,2,7,10,2016Grand
Belarus,Malta,6,2,9,8,6,6,22,5,0,2016Grand
Belarus,Georgia,18,18,11,15,13,15,15,0,0,2016Grand
Belarus,Austria,26,13,20,26,26,26,13,0,0,2016Grand
Belarus,United Kingdom,24,26,15,25,20,25,26,0,0,2016Grand
Belarus,Armenia,5,14,16,10,5,8,4,3,7,2016Grand
Belgium,Czech Republic,13,14,8,8,9,10,23,1,0,2016Grand
Belgium,The Netherlands,3,4,13,7,10,7,2,4,10,2016Grand
Belgium,Azerbaijan,24,18,24,19,20,24,22,0,0,2016Grand
Belgium,Hungary,22,25,21,14,11,20,19,0,0,2016Grand
Belgium,Italy,2,6,5,1,3,2,13,10,0,2016Grand
Belgium,Israel,6,8,15,15,7,9,17,2,0,2016Grand
Belgium,Bulgaria,5,7,10,6,8,5,6,6,5,2016Grand
Belgium,Sweden,25,16,19,20,24,23,10,0,1,2016Grand
Belgium,Germany,16,17,9,21,12,14,21,0,0,2016Grand
Belgium,France,4,1,1,12,16,3,3,8,8,2016Grand
Belgium,Poland,18,13,25,16,19,19,1,0,12,2016Grand
Belgium,Australia,1,2,2,3,1,1,7,12,4,2016Grand
Belgium,Cyprus,17,20,11,22,14,18,14,0,0,2016Grand
Belgium,Serbia,14,12,20,23,13,16,24,0,0,2016Grand
Belgium,Lithuania,7,21,16,17,18,15,12,0,0,2016Grand
Belgium,Croatia,19,22,18,9,15,17,25,0,0,2016Grand
Belgium,Russia,15,5,7,10,17,11,5,0,6,2016Grand
Belgium,Spain,8,11,6,24,6,12,11,0,0,2016Grand
Belgium,Latvia,21,19,22,11,25,22,16,0,0,2016Grand
Belgium,Ukraine,20,10,4,5,2,8,9,3,2,2016Grand
Belgium,Malta,10,24,17,25,21,21,15,0,0,2016Grand
Belgium,Georgia,12,3,14,2,5,4,20,7,0,2016Grand
Belgium,Austria,11,15,3,4,4,6,8,5,3,2016Grand
Belgium,United Kingdom,9,9,12,13,22,13,18,0,0,2016Grand
Belgium,Armenia,23,23,23,18,23,25,4,0,7,2016Grand
Bosnia & Herzegovina,Belgium,14,16,12,6,17,12,15,0,0,2016Grand
Bosnia & Herzegovina,Czech Republic,3,6,8,4,5,5,20,6,0,2016Grand
Bosnia & Herzegovina,The Netherlands,18,17,22,22,22,22,21,0,0,2016Grand
Bosnia & Herzegovina,Azerbaijan,19,5,13,10,15,10,3,1,8,2016Grand
Bosnia & Herzegovina,Hungary,12,19,14,13,13,13,10,0,1,2016Grand
Bosnia & Herzegovina,Italy,22,23,25,23,18,25,18,0,0,2016Grand
Bosnia & Herzegovina,Israel,20,15,26,11,16,18,24,0,0,2016Grand
Bosnia & Herzegovina,Bulgaria,4,12,5,12,11,8,9,3,2,2016Grand
Bosnia & Herzegovina,Sweden,24,20,15,14,20,19,11,0,0,2016Grand
Bosnia & Herzegovina,Germany,25,14,11,15,12,16,16,0,0,2016Grand
Bosnia & Herzegovina,France,7,4,4,8,3,4,7,7,4,2016Grand
Bosnia & Herzegovina,Poland,15,21,16,21,21,20,14,0,0,2016Grand
Bosnia & Herzegovina,Australia,2,1,2,5,2,2,8,10,3,2016Grand
Bosnia & Herzegovina,Cyprus,13,8,17,24,19,17,13,0,0,2016Grand
Bosnia & Herzegovina,Serbia,6,7,3,1,7,3,1,8,12,2016Grand
Bosnia & Herzegovina,Lithuania,26,25,21,9,25,24,23,0,0,2016Grand
Bosnia & Herzegovina,Croatia,9,9,9,3,8,7,2,4,10,2016Grand
Bosnia & Herzegovina,Russia,8,3,10,7,6,6,5,5,6,2016Grand
Bosnia & Herzegovina,Spain,16,18,7,25,9,15,17,0,0,2016Grand
Bosnia & Herzegovina,Latvia,11,22,6,16,10,11,22,0,0,2016Grand
Bosnia & Herzegovina,Ukraine,1,2,1,2,1,1,4,12,7,2016Grand
Bosnia & Herzegovina,Malta,10,11,18,18,14,14,19,0,0,2016Grand
Bosnia & Herzegovina,Georgia,23,24,19,17,23,23,26,0,0,2016Grand
Bosnia & Herzegovina,Austria,21,26,23,26,26,26,6,0,5,2016Grand
Bosnia & Herzegovina,United Kingdom,17,13,24,19,24,21,25,0,0,2016Grand
Bosnia & Herzegovina,Armenia,5,10,20,20,4,9,12,2,0,2016Grand
Bulgaria,Belgium,4,4,1,3,2,2,13,10,0,2016Grand
Bulgaria,Czech Republic,16,22,16,15,12,16,24,0,0,2016Grand
Bulgaria,The Netherlands,17,11,18,5,8,9,23,2,0,2016Grand
Bulgaria,Azerbaijan,18,12,21,22,13,18,10,0,1,2016Grand
Bulgaria,Hungary,23,9,15,24,25,21,16,0,0,2016Grand
Bulgaria,Italy,22,24,22,18,17,24,18,0,0,2016Grand
Bulgaria,Israel,20,8,8,13,15,12,9,0,2,2016Grand
Bulgaria,Sweden,10,17,19,25,22,20,8,0,3,2016Grand
Bulgaria,Germany,24,14,23,21,21,25,22,0,0,2016Grand
Bulgaria,France,15,21,20,20,20,22,12,0,0,2016Grand
Bulgaria,Poland,11,23,12,7,10,11,5,0,6,2016Grand
Bulgaria,Australia,5,3,2,4,1,3,6,8,5,2016Grand
Bulgaria,Cyprus,21,19,24,19,19,23,4,0,7,2016Grand
Bulgaria,Serbia,2,7,4,11,7,6,11,5,0,2016Grand
Bulgaria,Lithuania,12,6,9,17,18,10,15,1,0,2016Grand
Bulgaria,Croatia,19,18,17,16,6,15,25,0,0,2016Grand
Bulgaria,Russia,1,10,5,10,4,5,1,6,12,2016Grand
Bulgaria,Spain,7,16,10,6,11,7,17,4,0,2016Grand
Bulgaria,Latvia,8,13,11,9,23,14,14,0,0,2016Grand
Bulgaria,Ukraine,25,5,7,23,24,17,2,0,10,2016Grand
Bulgaria,Malta,9,2,13,1,5,4,19,7,0,2016Grand
Bulgaria,Georgia,6,20,6,8,16,8,20,3,0,2016Grand
Bulgaria,Austria,13,25,25,14,14,19,7,0,4,2016Grand
Bulgaria,United Kingdom,14,15,14,12,9,13,21,0,0,2016Grand
